name,UNID,sex,age,class,happy,hair_color,exclusive,greek,smoke,talking_min,texts_sent,live_campus,roomates,austin,commute,UT_sport,height,hw_hours_college,hw_hours_HS,sleep_Tues,sleep_Sat,talking_hrs,sleep_average,happiness_cat
Mellie Caywood,mc3392,Female,20,Sophomore,70,brown,1,no,no,20,10,no,3,5,bus,no,"4, 7",15,5,8,8,0.3333333333333333,8,Somewhat happy
Fabian Roussel,fr3597,Male,18,Freshman,85,brown,8,no,no,30,400,no,3,8,walk,yes,"5, 6",38,38,6,7,0.5,6.5,Happy
Valentina Vreeland,vv2563,Female,18,Freshman,75,blond,5,no,no,60,250,no,3,9,walk,no,"5, 2",15,8,7,10,1,8.5,Somewhat happy
Houston Hinesley,hh1373,Male,18,Freshman,80,brown,1,no,no,30,200,yes,1,7,walk,no,"4, 10",8,4,7,9,0.5,8,Somewhat happy
Jeremiah Dardar,jd1969,Male,18,Freshman,60,brown,5,no,yes,30,20,yes,0,9,walk,no,"5, 4",20,0.5,6,10,0.5,8,Somewhat happy
Bao Stottlemyer,bs2159,Female,18,Freshman,95,brown,10,no,no,30,200,yes,1,9,walk,yes,"5, 6",15,10,8,9,0.5,8.5,Happy
Lashawn Dechant,ld2810,Female,19,Sophomore,70,brown,9,no,no,5,100,no,3,10,walk,no,"4, 2",20,5,8,8,0.08333333333333333,8,Somewhat happy
Azzie Mckoy,am8369,Female,17,Freshman,,black,5,no,no,15,70,no,1,9,walk,no,"5, 9",30,15,6,4,0.25,5,
Zetta Boehman,zb1244,Female,18,Freshman,90,black,10,no,no,120,30,yes,1,8,walk,no,"6, 2",20,2,8,10,2,9,Happy
Tawnya Mcmeen,tm4485,Female,19,Sophomore,90,black,5,no,no,60,100,yes,3,9,walk,no,"6, 6",40,20,7,9,1,8,Happy
Chance Eckhoff,ce9108,Male,19,Sophomore,80,blond,10,no,no,120,400,no,3,7,bus,no,"6, 1",15,3,7.5,8,2,7.75,Somewhat happy
Lala Fyffe,lf9859,Female,18,Freshman,90,blond,1,no,no,60,100,no,1,10,walk,yes,"6, 0",30,8,8,8,1,8,Happy
Soila Molinari,sm3818,Female,19,Sophomore,80,brown,2,no,no,60,30,no,1,9,drive,yes,"5, 9",25,8,6,6,1,6,Somewhat happy
Moses Shirah,ms9951,Male,19,Sophomore,85,blond,10,no,no,10,150,no,1,8,walk,no,"5, 11",13,10,8,8,0.16666666666666666,8,Happy
Tory Squires,ts6025,Male,18,Freshman,80,black,2,no,no,60,100,yes,1,10,walk,yes,"6, 3",40,10,7,5,1,6,Somewhat happy
Ling Days,ld9160,Female,19,Sophomore,91,brown,2,no,no,1,200,no,4,10,walk,no,"6, 3",20,10,6.5,8,0.016666666666666666,7.25,Happy
Gabriel Rao,gr5629,Male,19,Sophomore,65,blond,10,no,no,15,50,yes,1,9,walk,no,"6, 7",12,2,7,9,0.25,8,Somewhat happy
Iraida Blanchard,ib7578,Female,20,Junior,80,brown,3,yes,only socially,12,200,no,1,10,walk,no,"6, 3",20,10,8,10,0.2,9,Somewhat happy
Eloy Kuester,ek6510,Male,21,Junior,70,black,5,no,no,1,5,no,3,8,bus,no,"6, 8",20,7,7,8,0.016666666666666666,7.5,Somewhat happy
Denisse Laman,dl2908,Female,19,Sophomore,80,brown,10,yes,no,30,250,no,1,8,walk,yes,"5, 6",5,10,7,9,0.5,8,Somewhat happy
Shana Ketcham,sk5555,Female,18,Freshman,80,brown,10,yes,no,60,300,no,3,10,walk,yes,"5, 6",10,7,8,9,1,8.5,Somewhat happy
Nery Laracuente,nl1644,Female,19,Sophomore,95,blond,2,yes,no,45,200,no,4,9,walk,no,"4, 10",12,5,6,8,0.75,7,Happy
Louisa Hayslip,lh7876,Female,18,Freshman,80,black,2,no,no,2,200,no,0,8,drive,no,"6, 4",50,10,8,10,0.03333333333333333,9,Somewhat happy
Charley Mckeown,cm2894,Male,19,Sophomore,78,black,1,no,no,180,12,no,3,5,bus,no,"6, 1",25,8,6,7,3,6.5,Somewhat happy
Sonia Schweiger,ss8595,Female,26,Sophomore,75,black,1,no,no,2,60,no,0,7,drive,no,"5, 6",30,16,7,7,0.03333333333333333,7,Somewhat happy
Nathanial Shortt,ns5597,Male,19,Sophomore,70,black,3,yes,no,80,300,no,0,6,other,no,"6, 1",20,4,6,7,1.3333333333333333,6.5,Somewhat happy
Arminda Sayre,as3307,Female,18,Freshman,95,brown,10,no,no,30,150,yes,1,6,walk,yes,"6, 0",10,2,9,7,0.5,8,Happy
Riva Barras,rb8206,Female,18,Freshman,80,blond,1,yes,no,30,2000,no,3,9,walk,no,"6, 4",15,5,7,7,0.5,7,Somewhat happy
Collen Hanning,ch1695,Female,19,Sophomore,95,brown,2,no,no,120,60,no,0,7,walk,no,"5, 6",20,5,8,9,2,8.5,Happy
Keila Pavone,kp1339,Female,19,Freshman,50,blond,8,no,only socially,30,30,no,3,7,walk,no,"5, 10",6,15,6,9,0.5,7.5,Unhappy
Mireya Espino,me6314,Female,19,Sophomore,85,brown,2,no,no,20,100,no,1,9,walk,no,"5, 5",8,3,6,5,0.3333333333333333,5.5,Happy
Carrie Stice,cs8500,Female,18,Freshman,90,brown,6,yes,no,30,200,yes,1,8,walk,no,"5, 11",28,18,8,12,0.5,10,Happy
Lawrence Vansant,lv5058,Male,19,Sophomore,80,black,2,no,no,5,25,no,0,9,drive,yes,"5, 10",20,15,5,7,0.08333333333333333,6,Somewhat happy
Margy Kingery,mk5491,Female,19,Sophomore,90,brown,1,no,no,70,100,no,2,8,walk,no,"5, 7",36,28,8,7,1.1666666666666667,7.5,Happy
Tanner Sacks,ts2939,Male,18,Freshman,95,blond,5,no,no,20,150,no,3,9,walk,yes,"5, 11",27,10,8,9,0.3333333333333333,8.5,Happy
